step,CV_eff,CV_eff__c1,CV_eff__c2,CV_eff__f1,CV_eff__f2,CV_eff_act,N,Pi,Pi__c1,Pi__c2,Pi__f1,Pi__f2,absmu_med__c1,absmu_med__c2,absmu_med__f1,absmu_med__f2,cos_max,cos_mean,cos_min,g_CV_eff,g_CV_eff__c1,g_CV_eff__c2,g_CV_eff__f1,g_CV_eff__f2,g_CV_eff_act,g_N,g_Pi,g_Pi__c1,g_Pi__c2,g_Pi__f1,g_Pi__f2,g_absmu_med__c1,g_absmu_med__c2,g_absmu_med__f1,g_absmu_med__f2,g_cos_max,g_cos_mean,g_cos_min,g_norm_0,g_norm_1,g_norm_2,g_norm_3,g_norm_4,g_norm_5,g_norm_6,g_norm_7,g_norm_8,g_norm_9,g_scale,g_sigma_H,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9,scale,sigma_H
0,0.8376441597938538,0.8213187456130981,0.7363074421882629,0.8324548602104187,0.9757376909255981,0.8372267257775341,0.07030739635229111,0.9997193217277527,0.9996669292449951,0.9998591542243958,0.9995687007904053,0.9998964071273804,0.00014298838505055755,9.577738092048094e-05,1.3974567082186695e-05,9.779730316950008e-05,0.7345913052558899,0.5495161414146423,0.33777523040771484,0.8376441597938538,0.8213186860084534,0.7363073825836182,0.8324548602104187,0.9757377505302429,0.8372267259501605,0.0703074038028717,0.9997193217277527,0.9996669292449951,0.9998591542243958,0.9995686411857605,0.9998965859413147,0.001429883879609406,0.0009577737073414028,0.00013974567991681397,0.000977973104454577,0.7345912456512451,0.5495161414146423,0.33777520060539246,0.6992121934890747,0.6902762055397034,0.8255956768989563,0.7084869742393494,0.652151882648468,0.656828761100769,0.6569049954414368,0.6857535243034363,0.7423919439315796,0.7282495498657227,0.7045851945877075,0.4535539746284485,0.06992122530937195,0.0690276250243187,0.08255957067012787,0.07084869593381882,0.06521519273519516,0.06568287312984467,0.06569050252437592,0.06857535243034363,0.07423919439315796,0.07282495498657227,0.07045852392911911,0.04535539820790291
1,0.6558789014816284,0.6173684597015381,0.5429762601852417,0.6603948473930359,0.7822287082672119,0.6558357321415625,0.07003092020750046,0.9999201893806458,0.9999822974205017,0.9999186992645264,0.9999117851257324,0.9999398589134216,0.00026692121173255146,0.00017531121557112783,2.5701838239911012e-05,0.00018333499610889703,0.8633394241333008,0.6742329001426697,0.39738383889198303,0.8915460109710693,0.8697763681411743,0.7575287818908691,0.900637686252594,1.031447410583496,0.8912708787742801,0.10031983256340027,0.9997962117195129,0.9996204972267151,0.9999054074287415,0.9996773600578308,0.9999374151229858,0.0013981349766254425,0.0009138879249803722,0.0001367474760627374,0.0009156567393802106,0.7336049675941467,0.5195921063423157,0.25125035643577576,0.6879109144210815,0.6789326667785645,0.8479040265083313,0.6569026112556458,0.7226123809814453,0.716610312461853,0.6497800946235657,0.6853660345077515,0.8692337870597839,0.6916924715042114,0.7206944823265076,0.4820086658000946,0.11867881566286087,0.11821570992469788,0.1380774825811386,0.11408494412899017,0.11499171704053879,0.1150958314538002,0.11347419023513794,0.11739515513181686,0.1351325362920761,0.11627359688282013,0.12014200538396835,0.06605199724435806
2,0.5432201623916626,0.5340612530708313,0.4612099826335907,0.5450233817100525,0.636448085308075,0.5431882916856563,0.04685770347714424,0.9999441504478455,0.9997377991676331,0.9999372363090515,0.9999440908432007,0.9999638795852661,0.0003606881946325302,0.00024680071510374546,3.6016295780427754e-05,0.00025913582067005336,0.8524643182754517,0.7503771781921387,0.580050528049469,0.8441898822784424,0.8961352109909058,0.7669057250022888,0.8322333097457886,0.9528886079788208,0.8439672695849981,0.07678498327732086,0.9998346567153931,0.9999843835830688,0.9998863935470581,0.9997740387916565,0.9999064207077026,0.0012949329102411866,0.0009047975181601942,0.00013451800623442978,0.0009310427121818066,0.7536866664886475,0.5440202355384827,0.31011179089546204,0.8419125080108643,0.6885743737220764,0.7088804841041565,0.7728352546691895,0.7289887070655823,0.7682097554206848,0.6695265173912048,0.6428369879722595,0.7685046195983887,0.7043725848197937,0.7294641733169556,0.4719385802745819,0.16210362315177917,0.1597365289926529,0.16613414883613586,0.163692906498909,0.16563701629638672,0.1629125028848648,0.15419438481330872,0.15846392512321472,0.182505264878273,0.15429094433784485,0.16296713054180145,0.07787579298019409
3,0.520780086517334,0.46381187438964844,0.4277976155281067,0.5234861373901367,0.6291230320930481,0.5206898367152064,0.04086374118924141,0.9999070763587952,0.9998037815093994,0.9999520182609558,0.9999483227729797,0.9997422695159912,0.0004272760997992009,0.0003077667497564107,4.567713403957896e-05,0.00032135547371581197,0.8540636301040649,0.765440821647644,0.6296993494033813,1.0007387399673462,0.790209949016571,0.8195416927337646,1.0032955408096313,1.231532335281372,1.0003195465081611,0.08460213989019394,0.9997813701629639,0.9994802474975586,0.9998893737792969,0.9997217059135437,0.9997918009757996,0.0015582458581775427,0.0009011975489556789,0.00014025297423359007,0.0009484944166615605,0.6676800847053528,0.4529866576194763,0.1521269977092743,0.8121037483215332,0.7955302596092224,0.8204337358474731,0.6405964493751526,0.8366498947143555,0.6631960868835449,0.7526928782463074,0.7776554226875305,0.7143710255622864,0.7215187549591064,0.7534748315811157,0.5348878502845764,0.1962229162454605,0.20274439454078674,0.2057797610759735,0.19608445465564728,0.21710172295570374,0.19755977392196655,0.18975099921226501,0.19707727432250977,0.2126874029636383,0.19382427632808685,0.20088329911231995,0.09286488592624664
4,0.481546014547348,0.4133898615837097,0.3898468315601349,0.4856412410736084,0.5875855088233948,0.48149516788657726,0.04737295210361481,0.9999316334724426,0.9998201131820679,0.9999345541000366,0.9999640583992004,0.9998506903648376,0.0005600312142632902,0.00036082789301872253,5.4742693464504555e-05,0.00037942788912914693,0.9001818895339966,0.7951294183731079,0.6051252484321594,0.9792299866676331,0.6921597719192505,0.8151869773864746,0.9881163239479065,1.1911636590957642,0.9789216092688684,0.10737203806638718,0.9997879266738892,0.9999344348907471,0.9998430013656616,0.9996885657310486,0.9999393224716187,0.0017214438412338495,0.0008851694292388856,0.00013836064317729324,0.0009719996596686542,0.7036083936691284,0.4722197651863098,0.18373458087444305,0.7091100215911865,0.8999525308609009,0.6611617803573608,0.8769140243530273,0.7270117402076721,0.7172482013702393,0.6802918314933777,0.6846208572387695,0.7892372012138367,0.6890141367912292,0.743456244468689,0.5231474041938782,0.2289443165063858,0.24320003390312195,0.23133140802383423,0.2251472771167755,0.2480383962392807,0.2327335774898529,0.21866729855537415,0.2241634875535965,0.25335559248924255,0.2226187139749527,0.23282001912593842,0.10112523287534714
5,0.42757901549339294,0.3562554717063904,0.35997992753982544,0.4326836168766022,0.5054828524589539,0.4275664463126206,0.03163859620690346,0.9999684691429138,0.999977707862854,0.999970555305481,0.9999644756317139,0.9999749064445496,0.0006335957441478968,0.0004015397862531245,6.21808139840141e-05,0.00044588875607587397,0.9285903573036194,0.8301632404327393,0.7079206705093384,0.8959518074989319,0.55637526512146,0.745764434337616,0.9330108165740967,1.0464484691619873,0.8957247428532729,0.06090077385306358,0.9998307228088379,0.9999964833259583,0.9998615384101868,0.9997527003288269,0.9999420046806335,0.001896219328045845,0.0008327800896950066,0.00013374105037655681,0.0009162790956906974,0.7313492894172668,0.5097852945327759,0.22217491269111633,0.7121986746788025,0.8021946549415588,0.6766194701194763,0.7349056601524353,0.6696304082870483,0.7351590394973755,0.6611112356185913,0.7205066680908203,0.6534338593482971,0.7319781184196472,0.7097737789154053,0.4745076298713684,0.2559005618095398,0.2716176211833954,0.2570263147354126,0.25247737765312195,0.26900342106819153,0.26032865047454834,0.24623706936836243,0.25420987606048584,0.2641906440258026,0.24673938751220703,0.25777310132980347,0.10139375180006027
6,0.39931732416152954,0.30080896615982056,0.3370043933391571,0.40513893961906433,0.46765679121017456,0.3993041287626048,0.03020818717777729,0.9999699592590332,0.999959409236908,0.9999573230743408,0.9999744296073914,0.9999779462814331,0.0007540344377048314,0.00043178527266718447,6.976256554480642e-05,0.0004891477292403579,0.9224791526794434,0.8487094044685364,0.7515734434127808,0.9149428606033325,0.48410969972610474,0.7901903390884399,0.947009801864624,1.0392916202545166,0.9145398723485397,0.09036509692668915,0.9997903108596802,0.999944806098938,0.9998172521591187,0.9996755123138428,0.9999735951423645,0.002396539319306612,0.0008542178547941148,0.0001424526999471709,0.0009675874607637525,0.6968793272972107,0.5019317865371704,0.2329692393541336,0.7629445791244507,0.7240658402442932,0.7360456585884094,0.785555362701416,0.6516686677932739,0.9258393049240112,0.7785376310348511,0.7773601412773132,0.7594271302223206,0.691631019115448,0.7593075633049011,0.5146462917327881,0.2756488621234894,0.2936328947544098,0.2799432873725891,0.27609941363334656,0.29247137904167175,0.2950030267238617,0.27041977643966675,0.2823435366153717,0.28360384702682495,0.2721850574016571,0.28213509917259216,0.10467585921287537
7,0.3944947421550751,0.26639658212661743,0.33410391211509705,0.4010944366455078,0.45932093262672424,0.39449253684976104,0.0380217507481575,0.9999794363975525,0.9999918341636658,0.9999712109565735,0.9999756217002869,0.9999986886978149,0.0008882914553396404,0.0004588135052472353,7.631331391166896e-05,0.0005378046189434826,0.931024432182312,0.8527952432632446,0.7370091676712036,0.9620912671089172,0.4474956691265106,0.8153120279312134,1.0180680751800537,1.0795164108276367,0.9619304386566572,0.08516306430101395,0.9998630881309509,0.9998899102210999,0.9999185800552368,0.9997817277908325,0.9999457597732544,0.002957923337817192,0.0008828321588225663,0.000136099974042736,0.0009585031657479703,0.7231724262237549,0.4697534739971161,0.14357984066009521,0.9240186214447021,0.8829668760299683,0.793466329574585,0.8822256326675415,0.9138150811195374,0.736049473285675,0.7463194131851196,0.842593789100647,0.7952456474304199,0.7315970063209534,0.8248297572135925,0.5739374756813049,0.2967988848686218,0.31961870193481445,0.30488911271095276,0.29885223507881165,0.3293052017688751,0.31313878297805786,0.2879227101802826,0.312107115983963,0.3083321750164032,0.29700109362602234,0.3067966103553772,0.112667016685009
8,0.3937200605869293,0.22376233339309692,0.32583087682724,0.4046795070171356,0.4627612829208374,0.3937141374949878,0.028392190113663673,0.9999790787696838,0.9999734163284302,0.9999752640724182,0.9999738931655884,0.9999967813491821,0.001109438482671976,0.0004808614612556994,8.299896580865607e-05,0.0005863098776899278,0.923445463180542,0.8519904613494873,0.7558181285858154,0.9875204563140869,0.3644927144050598,0.7870532870292664,1.0665314197540283,1.1705724000930786,0.9873828676007304,0.1099071130156517,0.9998288154602051,0.9999942183494568,0.9998830556869507,0.9997237920761108,0.9999165534973145,0.003369247308000922,0.0009441086440347135,0.0001413971622241661,0.0009846960892900825,0.7913875579833984,0.45946991443634033,-0.009967327117919922,0.9432864785194397,1.0716218948364258,0.9298576712608337,0.7152605056762695,0.7756282091140747,0.8966826796531677,1.0369610786437988,0.8993834257125854,0.9251573085784912,0.918085515499115,0.9111925363540649,0.6441075205802917,0.3220134973526001,0.3461579978466034,0.3421138525009155,0.3203562796115875,0.3423125743865967,0.3280065059661865,0.3193475306034088,0.3330252170562744,0.3303098976612091,0.3233931362628937,0.33070364594459534,0.12120139598846436
9,0.38872459530830383,0.18781712651252747,0.3095272481441498,0.40618258714675903,0.4621392488479614,0.38872157555526493,0.033450428396463394,0.9999802708625793,0.9999953508377075,0.9999743103981018,0.9999776482582092,0.9999913573265076,0.001359165646135807,0.000508411496412009,8.897917723516002e-05,0.0006414132076315582,0.924140453338623,0.8555855751037598,0.7487488985061646,0.8508914113044739,0.30124595761299133,0.6446589827537537,0.9589909911155701,1.0343730449676514,0.8506364649998758,0.0980147048830986,0.9998580813407898,0.9999750852584839,0.9998989105224609,0.9997472167015076,0.9999703764915466,0.004023680463433266,0.0009931656531989574,0.00013746054901275784,0.0010370136005803943,0.7814813852310181,0.5440285205841064,0.23957908153533936,0.7966621518135071,0.8636311888694763,1.053521752357483,0.844477117061615,0.8403862118721008,0.7683682441711426,0.8455686569213867,0.9405481815338135,0.7717383503913879,0.7865356802940369,0.8511437773704529,0.55422043800354,0.3437417447566986,0.37614455819129944,0.3698022663593292,0.34435486793518066,0.36155980825424194,0.3529263138771057,0.34001415967941284,0.3673843741416931,0.3535664975643158,0.3458542227745056,0.3555348813533783,0.12888704240322113
