step,AhistW_00,AhistW_01,AhistW_02,AhistW_03,AhistW_04,AhistW_05,AhistW_06,AhistW_07,AhistW_08,AhistW_09,AhistW_10,AhistW_11,AhistW_12,AhistW_13,AhistW_14,AhistW_15,AhistW_16,AhistW_17,AhistW_18,AhistW_19,Ahist_00,Ahist_01,Ahist_02,Ahist_03,Ahist_04,Ahist_05,Ahist_06,Ahist_07,Ahist_08,Ahist_09,Ahist_10,Ahist_11,Ahist_12,Ahist_13,Ahist_14,Ahist_15,Ahist_16,Ahist_17,Ahist_18,Ahist_19,Q__c1,Q__c2,Q__f1,Q__f2,S__c1,S__c2,S__f1,S__f2,absmu_median__c1,absmu_median__c2,absmu_median__f1,absmu_median__f2,absmu_q25__c1,absmu_q25__c2,absmu_q25__f1,absmu_q25__f2,absmu_q75__c1,absmu_q75__c2,absmu_q75__f1,absmu_q75__f2,consensus_Q,consensus_S,cos_max,cos_mean,cos_min,cv_median,dispersion_N,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9
0,0.2242528200149536,0.0,0.0,0.0,0.3334175944328308,0.0,0.0,0.19131208956241608,0.0,0.0,0.0,0.0,0.10226257890462875,0.0,0.0,0.0,0.14540882408618927,0.0,0.0,0.0033460964914411306,0.3379906117916107,0.0,0.0,0.0,0.4269939064979553,0.0,0.0,0.16025188565254211,0.0,0.0,0.0,0.0,0.05144781619310379,0.0,0.0,0.0,0.020360099151730537,0.0,0.0,0.002955688163638115,0.05384615436196327,0.07357285171747208,0.05034956336021423,0.6706586480140686,0.14109323918819427,0.1658887416124344,0.06555482000112534,0.8529302477836609,0.00013677490642294288,9.153112478088588e-05,1.346076351183001e-05,9.284940460929647e-05,6.111070979386568e-05,3.6208759411238134e-05,1.6702989569239435e-06,1.2060647350153886e-05,0.0002618436119519174,0.00017945736180990934,4.551768506644294e-05,0.00028522202046588063,0.058912500739097595,0.2509995996952057,0.07102446258068085,-0.08553784340620041,-0.21404863893985748,4.399355888366699,0.09544780105352402,0.36384743452072144,0.30079731345176697,0.3541257381439209,0.30652350187301636,0.3153226971626282,0.3638644814491272,0.36824461817741394,0.3272111415863037,0.4139597415924072,0.3645556569099426
1,0.20999528467655182,0.0,0.0,0.0,0.3291725516319275,0.0,0.0,0.19064243137836456,0.0,0.0,0.0,0.0,0.10521126538515091,0.0,0.0,0.0,0.16109319031238556,0.0,0.0,0.0038853154983371496,0.32322558760643005,0.0,0.0,0.0,0.40677884221076965,0.0,0.0,0.16865696012973785,0.0,0.0,0.0,0.0,0.06662990897893906,0.0,0.0,0.0,0.029934203252196312,0.0,0.0,0.004774471744894981,0.0615384615957737,0.0809980034828186,0.07627466320991516,0.7187624573707581,0.13264277577400208,0.1802832931280136,0.08812110126018524,0.8615934252738953,0.0002490621118340641,0.0001737999846227467,2.5202762117260136e-05,0.0001752472307998687,0.00010697470133891329,6.874393875477836e-05,3.003079655172769e-06,2.262678935949225e-05,0.000497873523272574,0.0003405976458452642,8.551937935408205e-05,0.0005414516781456769,0.08399832993745804,0.2701742947101593,0.11813509464263916,-0.08406424522399902,-0.17568504810333252,4.264277935028076,0.0940413624048233,0.6894090175628662,0.5538976788520813,0.6117697954177856,0.6030758023262024,0.5929670333862305,0.6515141129493713,0.7078923583030701,0.6076915264129639,0.7612296938896179,0.6936814188957214
2,0.20686578750610352,0.0,0.0,0.0,0.330817312002182,0.0,0.0,0.18253853917121887,0.0,0.0,0.0,0.0,0.10764136165380478,0.0,0.0,0.0,0.16782371699810028,0.0,0.0,0.004313272889703512,0.3108249008655548,0.0,0.0,0.0,0.40381118655204773,0.0,0.0,0.1669578105211258,0.0,0.0,0.0,0.0,0.07446867227554321,0.0,0.0,0.0,0.03640623390674591,0.0,0.0,0.007531187497079372,0.07115384936332703,0.08283433318138123,0.09307865798473358,0.742514967918396,0.1472044438123703,0.1837029904127121,0.09566592425107956,0.870976448059082,0.00037303613498806953,0.0002471777843311429,3.599788760766387e-05,0.0002537472464609891,0.00017531805497128516,9.927454811986536e-05,4.233865183778107e-06,3.1231709726853296e-05,0.0007250342750921845,0.0004838641616515815,0.00012132210395066068,0.0007823484484106302,0.100004643201828,0.2797633409500122,0.08859328925609589,-0.08407199382781982,-0.17179270088672638,4.285037517547607,0.09561759233474731,0.9713236689567566,0.7609797716140747,0.888033926486969,0.8484874963760376,0.8428546190261841,0.9321269989013672,1.006738543510437,0.8569315075874329,1.0722237825393677,0.9638983011245728
3,0.20607540011405945,0.0,0.0,0.0,0.3332349359989166,0.0,0.0,0.1742553859949112,0.0,0.0,0.0,0.0,0.1081840991973877,0.0,0.0,0.0,0.1737767904996872,0.0,0.0,0.0044734119437634945,0.31459078192710876,0.0,0.0,0.0,0.3986622095108032,0.0,0.0,0.1654944121837616,0.0,0.0,0.0,0.0,0.07211820036172867,0.0,0.0,0.0,0.039474111050367355,0.0,0.0,0.009660262614488602,0.07115384936332703,0.08706586807966232,0.09657678008079529,0.7558882236480713,0.15652480721473694,0.19701708853244781,0.08557845652103424,0.8842111825942993,0.0005132172955200076,0.0003165281959809363,4.590595199260861e-05,0.0003266165731474757,0.00022656790679320693,0.00012682093074545264,5.390435944718774e-06,3.8322104956023395e-05,0.0009119912283495069,0.0006183902733027935,0.00015543971676379442,0.0010304235620424151,0.10365594178438187,0.28641772270202637,0.0858059972524643,-0.08372755348682404,-0.16162320971488953,4.274277210235596,0.08547156304121017,1.2558172941207886,1.011521577835083,1.1154565811157227,1.1087039709091187,1.0571558475494385,1.14528226852417,1.2797619104385376,1.1010408401489258,1.330740213394165,1.2343603372573853
4,0.20538926124572754,0.0,0.0,0.0,0.3285042643547058,0.0,0.0,0.1704094409942627,0.0,0.0,0.0,0.0,0.1142454594373703,0.0,0.0,0.0,0.17725901305675507,0.0,0.0,0.004192531108856201,0.30866551399230957,0.0,0.0,0.0,0.4005478024482727,0.0,0.0,0.16906146705150604,0.0,0.0,0.0,0.0,0.07659957557916641,0.0,0.0,0.0,0.03484102711081505,0.0,0.0,0.010284626856446266,0.06538461893796921,0.0916966050863266,0.0973832756280899,0.7624750137329102,0.14136077463626862,0.20199714601039886,0.08054929226636887,0.897045373916626,0.0006475233822129667,0.0003800858976319432,5.472017437568866e-05,0.0003941523900721222,0.00029648805502802134,0.000151213287608698,6.466699232987594e-06,4.5856908400310203e-05,0.001120993634685874,0.0007410039543174207,0.0001858923933468759,0.0012387946480885148,0.10474390536546707,0.2956814169883728,0.08049635589122772,-0.08352645486593246,-0.15940000116825104,4.280517578125,0.08858372271060944,1.4680230617523193,1.219451904296875,1.3492472171783447,1.3079543113708496,1.277956485748291,1.3766899108886719,1.5303159952163696,1.2846548557281494,1.6340545415878296,1.4621641635894775
5,0.20451462268829346,0.0,0.0,0.0,0.32700297236442566,0.0,0.0,0.16530141234397888,0.0,0.0,0.0,0.0,0.11473964154720306,0.0,0.0,0.0,0.18425217270851135,0.0,0.0,0.0041892630979418755,0.30177512764930725,0.0,0.0,0.0,0.3965381979942322,0.0,0.0,0.17385421693325043,0.0,0.0,0.0,0.0,0.07922510802745819,0.0,0.0,0.0,0.03821657598018646,0.0,0.0,0.010390793904662132,0.08076923340559006,0.09289421141147614,0.10358551889657974,0.7692614793777466,0.12546896934509277,0.19357043504714966,0.08493270725011826,0.8963184356689453,0.0007585639832541347,0.0004351910320110619,6.355490040732548e-05,0.00046589074190706015,0.0003615040041040629,0.00017538206884637475,7.518955044361064e-06,5.315772432368249e-05,0.0013928631087765098,0.0008494801004417241,0.0002164603502023965,0.0014441784005612135,0.1106731966137886,0.30316489934921265,0.05291111767292023,-0.08271026611328125,-0.17178425192832947,4.260446071624756,0.09076434373855591,1.668269157409668,1.3657822608947754,1.560306191444397,1.5161492824554443,1.535191297531128,1.5224448442459106,1.7059121131896973,1.5323957204818726,1.9155231714248657,1.7384792566299438
6,0.2028246819972992,0.0,0.0,0.0,0.32790669798851013,0.0,0.0,0.16086716949939728,0.0,0.0,0.0,0.0,0.1076468899846077,0.0,0.0,0.0,0.19725288450717926,0.0,0.0,0.0035016604233533144,0.30024492740631104,0.0,0.0,0.0,0.39087894558906555,0.0,0.0,0.1739359200000763,0.0,0.0,0.0,0.0,0.08391556143760681,0.0,0.0,0.0,0.0407809242606163,0.0,0.0,0.010243712924420834,0.07884615659713745,0.0959281474351883,0.11108614504337311,0.7706586718559265,0.09048059582710266,0.19338345527648926,0.07923898845911026,0.9088567495346069,0.0008842089446261525,0.0004921215586364269,7.120772352209315e-05,0.0005112842191010714,0.0003984071081504226,0.00019874490681104362,8.279595931526273e-06,5.6526863772887737e-05,0.0017069446621462703,0.0009668449056334794,0.0002443827106617391,0.0016562677919864655,0.11783196032047272,0.30838876962661743,0.058182574808597565,-0.08154060691595078,-0.1674940437078476,4.175846099853516,0.1051236242055893,1.8685251474380493,1.5027848482131958,1.708975076675415,1.689927101135254,1.6600868701934814,1.6957120895385742,1.947657823562622,1.6990679502487183,2.1875267028808594,1.9725779294967651
7,0.2067253589630127,0.0,0.0,0.0,0.32720109820365906,0.0,0.0,0.15791404247283936,0.0,0.0,0.0,0.0,0.10104316473007202,0.0,0.0,0.0,0.20365558564662933,0.0,0.0,0.0034607339184731245,0.29921993613243103,0.0,0.0,0.0,0.3875640034675598,0.0,0.0,0.17597177624702454,0.0,0.0,0.0,0.0,0.08302422612905502,0.0,0.0,0.0,0.042699459940195084,0.0,0.0,0.011520602740347385,0.07307692617177963,0.09544910490512848,0.11339825391769409,0.7746506929397583,0.09605614095926285,0.1821785867214203,0.07644128054380417,0.9092844128608704,0.0010777736315503716,0.0005537478718906641,7.834326243028045e-05,0.0005490794428624213,0.00046614446910098195,0.0002223616756964475,9.07740650291089e-06,6.262997339945287e-05,0.0020701135508716106,0.0010893174912780523,0.00027147994842380285,0.001850391854532063,0.11999165266752243,0.3081432282924652,0.09022963047027588,-0.0813562348484993,-0.16411226987838745,4.140583038330078,0.11082929372787476,2.131878614425659,1.683100938796997,1.861807107925415,1.9074599742889404,1.8394033908843994,1.9020836353302002,2.148987054824829,1.9315327405929565,2.496406316757202,2.209667921066284
8,0.20168204605579376,0.0,0.0,0.0,0.3298240303993225,0.0,0.0,0.15876378118991852,0.0,0.0,0.0,0.0,0.09785917401313782,0.0,0.0,0.0,0.20878008008003235,0.0,0.0,0.003090859390795231,0.30226877331733704,0.0,0.0,0.0,0.3875293731689453,0.0,0.0,0.17411990463733673,0.0,0.0,0.0,0.0,0.07987309247255325,0.0,0.0,0.0,0.04291210696101189,0.0,0.0,0.013296746648848057,0.07307692617177963,0.09552894532680511,0.11264669895172119,0.7746506929397583,0.09163303673267365,0.17200766503810883,0.07319188117980957,0.9073306322097778,0.001245390623807907,0.0006162174395285547,8.488095772918314e-05,0.0005901364493183792,0.0005267527885735035,0.0002424735575914383,9.80979257292347e-06,6.22669467702508e-05,0.0025767339393496513,0.001222751336172223,0.00029830296989530325,0.0020690993405878544,0.1192980483174324,0.30971425771713257,0.11076900362968445,-0.0802285298705101,-0.17893804609775543,4.080514430999756,0.12050339579582214,2.3235278129577637,1.8416081666946411,2.0469400882720947,2.0858798027038574,2.0077154636383057,2.1070735454559326,2.3879971504211426,2.0846502780914307,2.822671413421631,2.42600417137146
9,0.19752155244350433,0.0,0.0,0.0,0.33136269450187683,0.0,0.0,0.16787484288215637,0.0,0.0,0.0,0.0,0.10417052358388901,0.0,0.0,0.0,0.19582490622997284,0.0,0.0,0.003245495492592454,0.2943250238895416,0.0,0.0,0.0,0.3887292444705963,0.0,0.0,0.17429442703723907,0.0,0.0,0.0,0.0,0.08218606561422348,0.0,0.0,0.0,0.04525722563266754,0.0,0.0,0.015208011493086815,0.07884615659713745,0.09640718251466751,0.11914107948541641,0.7754490971565247,0.08815214782953262,0.16440199315547943,0.06729135662317276,0.8833315968513489,0.0015291804447770119,0.000687373336404562,9.144928480964154e-05,0.0006469369400292635,0.0005146575858816504,0.0002739947522059083,1.033094940794399e-05,6.523725460283458e-05,0.003214376512914896,0.001386436284519732,0.000327748479321599,0.0022763984743505716,0.12539900839328766,0.30322596430778503,0.1416008472442627,-0.07836512476205826,-0.19058330357074738,4.008349895477295,0.13329775631427765,2.5271129608154297,1.9943480491638184,2.2107601165771484,2.3277909755706787,2.1432621479034424,2.267014265060425,2.6074912548065186,2.2271173000335693,3.189274311065674,2.5667083263397217
