step,AhistW_00,AhistW_01,AhistW_02,AhistW_03,AhistW_04,AhistW_05,AhistW_06,AhistW_07,AhistW_08,AhistW_09,AhistW_10,AhistW_11,AhistW_12,AhistW_13,AhistW_14,AhistW_15,AhistW_16,AhistW_17,AhistW_18,AhistW_19,Ahist_00,Ahist_01,Ahist_02,Ahist_03,Ahist_04,Ahist_05,Ahist_06,Ahist_07,Ahist_08,Ahist_09,Ahist_10,Ahist_11,Ahist_12,Ahist_13,Ahist_14,Ahist_15,Ahist_16,Ahist_17,Ahist_18,Ahist_19,Q__c1,Q__c2,Q__f1,Q__f2,S__c1,S__c2,S__f1,S__f2,absmu_median__c1,absmu_median__c2,absmu_median__f1,absmu_median__f2,absmu_q25__c1,absmu_q25__c2,absmu_q25__f1,absmu_q25__f2,absmu_q75__c1,absmu_q75__c2,absmu_q75__f1,absmu_q75__f2,consensus_Q,consensus_S,cos_max,cos_mean,cos_min,cv_median,dispersion_N,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9
0,0.0042393808253109455,0.0,0.0,0.0,0.01888987049460411,0.0,0.0,0.04155079647898674,0.0,0.0,0.0,0.0,0.08812742680311203,0.0,0.0,0.0,0.20893993973731995,0.0,0.0,0.6382525563240051,0.0961994007229805,0.0,0.0,0.0,0.16287945210933685,0.0,0.0,0.16304907202720642,0.0,0.0,0.0,0.0,0.16693051159381866,0.0,0.0,0.0,0.17830629646778107,0.0,0.0,0.2326352596282959,0.5596153736114502,0.6122155785560608,0.46474409103393555,0.530139684677124,0.9367241859436035,0.9534270763397217,0.9366371631622314,0.906144380569458,0.0001431017299182713,9.57782831392251e-05,1.397473897668533e-05,9.782685083337128e-05,7.018020551186055e-05,3.906964775524102e-05,1.8861342141462956e-06,1.198661993839778e-05,0.00026299955788999796,0.00018362114496994764,4.6533918066415936e-05,0.00029181543504819274,0.4741881191730499,0.9353191256523132,0.7345913052558899,0.5495161414146423,0.33777523040771484,1.1422381401062012,0.07030739635229111,0.06992122530937195,0.0690276250243187,0.08255957067012787,0.07084869593381882,0.06521519273519516,0.06568287312984467,0.06569050252437592,0.06857535243034363,0.07423919439315796,0.07282495498657227
1,0.00210812920704484,0.0,0.0,0.0,0.008177601732313633,0.0,0.0,0.024175429716706276,0.0,0.0,0.0,0.0,0.059220608323812485,0.0,0.0,0.0,0.14112940430641174,0.0,0.0,0.7651888132095337,0.07529757171869278,0.0,0.0,0.0,0.13104546070098877,0.0,0.0,0.13601019978523254,0.0,0.0,0.0,0.0,0.14514870941638947,0.0,0.0,0.0,0.1790807843208313,0.0,0.0,0.33341726660728455,0.6711538434028625,0.7005189657211304,0.5476878881454468,0.6073852181434631,0.9732000231742859,0.9812219142913818,0.9670087099075317,0.9390711784362793,0.00026968854945153,0.0001751967065501958,2.5699915568111464e-05,0.0001825869840104133,0.00013245551963336766,7.148127042455599e-05,3.3544074540259317e-06,2.1395964722614735e-05,0.00047953473404049873,0.00034352875081822276,8.687828085385263e-05,0.0005589762004092336,0.5574116706848145,0.9655388593673706,0.8637036681175232,0.6750839948654175,0.3972166180610657,0.9109806418418884,0.07048143446445465,0.11868894100189209,0.1183171421289444,0.13819898664951324,0.11423388123512268,0.11481601744890213,0.11529842764139175,0.11332468688488007,0.11757610738277435,0.1355423778295517,0.11689451336860657
2,0.0012594298459589481,0.0,0.0,0.0,0.006574944127351046,0.0,0.0,0.015452991239726543,0.0,0.0,0.0,0.0,0.03512822836637497,0.0,0.0,0.0,0.08915473520755768,0.0,0.0,0.8524296879768372,0.06631986796855927,0.0,0.0,0.0,0.11763836443424225,0.0,0.0,0.11964016407728195,0.0,0.0,0.0,0.0,0.13042297959327698,0.0,0.0,0.0,0.16511717438697815,0.0,0.0,0.4008614420890808,0.7153846025466919,0.7366467118263245,0.591997504234314,0.6500997543334961,0.9822782874107361,0.9865131974220276,0.9778592586517334,0.9600408673286438,0.00036079116398468614,0.0002477848611306399,3.609061968745664e-05,0.0002594911493360996,0.000172904459759593,0.00010089056740980595,4.618488674168475e-06,2.8682066840701737e-05,0.0006797255482524633,0.0004856376035604626,0.0001232395734405145,0.0007889190455898643,0.6012271642684937,0.9767128825187683,0.8540862798690796,0.7519131302833557,0.5812375545501709,0.788558304309845,0.04783981293439865,0.16229046881198883,0.16032356023788452,0.16643711924552917,0.16398607194423676,0.1663106232881546,0.163277730345726,0.15388540923595428,0.1596175879240036,0.18360094726085663,0.1550319492816925
3,0.0009925342164933681,0.0,0.0,0.0,0.005370128899812698,0.0,0.0,0.013954335823655128,0.0,0.0,0.0,0.0,0.0315566249191761,0.0,0.0,0.0,0.08474363386631012,0.0,0.0,0.8633827567100525,0.059340864419937134,0.0,0.0,0.0,0.10630165785551071,0.0,0.0,0.11375149339437485,0.0,0.0,0.0,0.0,0.12481860816478729,0.0,0.0,0.0,0.16216877102851868,0.0,0.0,0.43361860513687134,0.7173076868057251,0.753692626953125,0.6204094886779785,0.678842306137085,0.9871228933334351,0.9899170398712158,0.9805388450622559,0.9620963335037231,0.0004442550125531852,0.0003120721084997058,4.592638651956804e-05,0.0003195437602698803,0.00018962970352731645,0.00012449325004126877,5.963910098216729e-06,3.63131875928957e-05,0.0008271336555480957,0.0006154722068458796,0.00015540531603619456,0.0009773590136319399,0.6289505958557129,0.9796836972236633,0.8555490374565125,0.7677869200706482,0.633716344833374,0.7232270240783691,0.04151948541402817,0.19752384722232819,0.20349563658237457,0.20690284669399261,0.19700244069099426,0.2187948375940323,0.19927753508090973,0.1901077926158905,0.19874705374240875,0.21390342712402344,0.19496451318264008
4,0.0008293780265375972,0.0,0.0,0.0,0.003915982320904732,0.0,0.0,0.011196935549378395,0.0,0.0,0.0,0.0,0.026965724304318428,0.0,0.0,0.0,0.07605548202991486,0.0,0.0,0.8810364603996277,0.053269632160663605,0.0,0.0,0.0,0.09992599487304688,0.0,0.0,0.10248596966266632,0.0,0.0,0.0,0.0,0.11688452214002609,0.0,0.0,0.0,0.16030140221118927,0.0,0.0,0.46713247895240784,0.7307692170143127,0.7757684588432312,0.6472834348678589,0.7107784152030945,0.9898368716239929,0.9921035170555115,0.9854847192764282,0.9678707122802734,0.0005057853413745761,0.00036916404496878386,5.4877004004083574e-05,0.00037650088779628277,0.0002245201321784407,0.00014620550791732967,7.116389497241471e-06,4.330248702899553e-05,0.000957317475695163,0.0007253990625031292,0.00018353626364842057,0.0011647758074104786,0.6555883288383484,0.9840585589408875,0.9010375142097473,0.7974966168403625,0.6093317270278931,0.6651790738105774,0.04749772325158119,0.23130972683429718,0.2449130117893219,0.23313722014427185,0.22649943828582764,0.25102218985557556,0.23491230607032776,0.22018533945083618,0.22624702751636505,0.2546955943107605,0.22425928711891174
5,0.0007722740992903709,0.0,0.0,0.0,0.0027268787380307913,0.0,0.0,0.008468265645205975,0.0,0.0,0.0,0.0,0.020905695855617523,0.0,0.0,0.0,0.05240199342370033,0.0,0.0,0.9147248864173889,0.05090663582086563,0.0,0.0,0.0,0.08893612027168274,0.0,0.0,0.0971570834517479,0.0,0.0,0.0,0.0,0.10766556859016418,0.0,0.0,0.0,0.1482626348733902,0.0,0.0,0.5070719718933105,0.7634615302085876,0.7873054146766663,0.6685718297958374,0.7263472676277161,0.9898946285247803,0.9938223958015442,0.98810213804245,0.9789105653762817,0.0006358587415888906,0.0004111625312361866,6.23370724497363e-05,0.0004384102066978812,0.00029793911380693316,0.00016128433344420046,8.1085781857837e-06,5.0257825932931155e-05,0.0011501866392791271,0.000814777216874063,0.00020800992206204683,0.0013150142040103674,0.676257312297821,0.9880334138870239,0.9303479790687561,0.8333584666252136,0.7129543423652649,0.6061452031135559,0.031920723617076874,0.2588970363140106,0.2736356854438782,0.25989142060279846,0.25520092248916626,0.27165061235427856,0.263405442237854,0.24724678695201874,0.25643154978752136,0.26608943939208984,0.24905307590961456
6,0.0004875361337326467,0.0,0.0,0.0,0.002405812032520771,0.0,0.0,0.00782275665551424,0.0,0.0,0.0,0.0,0.01719784364104271,0.0,0.0,0.0,0.04461533576250076,0.0,0.0,0.9274705648422241,0.04681381583213806,0.0,0.0,0.0,0.08549880236387253,0.0,0.0,0.08965974301099777,0.0,0.0,0.0,0.0,0.10511651635169983,0.0,0.0,0.0,0.1403058022260666,0.0,0.0,0.5326053500175476,0.7980769276618958,0.7999600768089294,0.6842971444129944,0.7433133721351624,0.9945994019508362,0.9951193928718567,0.9901270270347595,0.9783251881599426,0.0007004814688116312,0.00044580810936167836,6.954636774025857e-05,0.0004883937072008848,0.00033723851083777845,0.00017603742890059948,9.304062587034423e-06,5.7713132264325395e-05,0.001385585404932499,0.0008910649921745062,0.00023037815117277205,0.0014837050111964345,0.6918414235115051,0.9892846345901489,0.9234299659729004,0.8523229360580444,0.7575365900993347,0.5656986832618713,0.030902927741408348,0.2777480483055115,0.2956010699272156,0.2834884822368622,0.2790815532207489,0.29574739933013916,0.29852885007858276,0.2721211612224579,0.2847553491592407,0.28632479906082153,0.2746794819831848
7,0.000432563538197428,0.0,0.0,0.0,0.00228897575289011,0.0,0.0,0.005622014869004488,0.0,0.0,0.0,0.0,0.017753558233380318,0.0,0.0,0.0,0.052861496806144714,0.0,0.0,0.9210414290428162,0.04543202742934227,0.0,0.0,0.0,0.08179061859846115,0.0,0.0,0.08585265278816223,0.0,0.0,0.0,0.0,0.10554548352956772,0.0,0.0,0.0,0.1443163901567459,0.0,0.0,0.5370628237724304,0.8019230961799622,0.8032335638999939,0.6967316269874573,0.7578842043876648,0.9956103563308716,0.9956457018852234,0.9921726584434509,0.9846528172492981,0.0008233392145484686,0.0004740665899589658,7.568211003672332e-05,0.0005318732000887394,0.0003719524247571826,0.00018493941752240062,1.0254428161715623e-05,6.389285408658907e-05,0.0017015261109918356,0.0009473136160522699,0.0002494128420948982,0.0016474536387249827,0.7037580609321594,0.9916572570800781,0.9365386962890625,0.8567490577697754,0.7447203397750854,0.5466978549957275,0.03740287944674492,0.2995409369468689,0.3204123079776764,0.30721303820610046,0.3009012043476105,0.33060112595558167,0.31617897748947144,0.28856009244918823,0.31213536858558655,0.30812811851501465,0.2990117371082306
8,0.000464846845716238,0.0,0.0,0.0,0.002403812948614359,0.0,0.0,0.00667902547866106,0.0,0.0,0.0,0.0,0.01743660680949688,0.0,0.0,0.0,0.04369156435132027,0.0,0.0,0.9293240904808044,0.043059639632701874,0.0,0.0,0.0,0.08272364735603333,0.0,0.0,0.08728822320699692,0.0,0.0,0.0,0.0,0.10220522433519363,0.0,0.0,0.0,0.13824084401130676,0.0,0.0,0.5464824438095093,0.817307710647583,0.8014371395111084,0.6991361379623413,0.7542914152145386,0.9975878596305847,0.9958376288414001,0.990913987159729,0.9813901782035828,0.0009427773766219616,0.0004929479910060763,8.196420822059736e-05,0.000575357349589467,0.00040470261592417955,0.00019314650853630155,1.1094050933024846e-05,6.73635586281307e-05,0.0019955476745963097,0.0009943414479494095,0.00026653989334590733,0.0017215246334671974,0.7058643698692322,0.99045330286026,0.9286106824874878,0.8561719655990601,0.7629878520965576,0.5316004753112793,0.02822434902191162,0.321479469537735,0.34160491824150085,0.3410876393318176,0.3197495639324188,0.34143126010894775,0.32809847593307495,0.3148174583911896,0.3296421766281128,0.3280627131462097,0.3214721381664276
9,0.001094614970497787,0.0,0.0,0.0,0.002083779079839587,0.0,0.0,0.006721509620547295,0.0,0.0,0.0,0.0,0.016448872163891792,0.0,0.0,0.0,0.04322289302945137,0.0,0.0,0.9304283261299133,0.0425497405230999,0.0,0.0,0.0,0.0807463675737381,0.0,0.0,0.08504796028137207,0.0,0.0,0.0,0.0,0.10189373046159744,0.0,0.0,0.0,0.13593043386936188,0.0,0.0,0.5538317561149597,0.8596153855323792,0.8033533096313477,0.7065867781639099,0.7552893757820129,0.9989866018295288,0.9959120154380798,0.9911143183708191,0.9790999293327332,0.0011862684041261673,0.0005130094359628856,8.763972437009215e-05,0.0006272252649068832,0.0004670275957323611,0.00020169098570477217,1.184428583655972e-05,7.217629172373563e-05,0.002402364742010832,0.0010364248882979155,0.00028268544701859355,0.0018900914583355188,0.7129604816436768,0.9901012182235718,0.92796391248703,0.857934832572937,0.7507410049438477,0.5204585790634155,0.032839979976415634,0.33818453550338745,0.3662363588809967,0.3643495440483093,0.3387632369995117,0.35757267475128174,0.3487578332424164,0.33133602142333984,0.35851818323135376,0.3472957909107208,0.34000447392463684
